group1,group2
0.56519,6.62002
2.39144,6.50225
0.14001,4.36274
0.50483,6.77096
0.37295,4.05426
0.12101,6.88675
3.48259,5.41273
1.71843,5.13858
1.31338,6.18656
1.54195,5.70684
1.3792,6.34306
3.0316,4.20451
1.77581,3.98771
0.16559,6.32086
1.85147,3.60518
2.66521,4.34683
1.48638,4.06395
1.4295,6.62744
2.82466,6.76928
1.49104,5.34016
1.88494,5.31011
2.13677,5.97476
1.32617,4.22883
2.88086,3.95976
1.48169,5.63729
1.09544,6.20936
1.5637,6.78786
1.19126,6.22589
1.88701,5.70613
0.78026,6.46321
1.43564,5.3243
1.07463,5.3812
0.89045,5.68167
1.8735,6.71526
2.37156,3.81089
2.66176,4.44938
0.75861,5.86782
2.02544,6.00334
1.06384,5.1181
3.36802,6.97406
2.12195,5.2197
1.82338,6.63192
3.34065,4.97544
2.54771,5.31648
3.17854,5.42064
0.2729,4.0863
2.45592,6.40543
0.72234,5.20362
2.02532,5.53621
0.07102,4.8362
2.4039,6.39553
2.68312,5.71013
1.21153,4.23906
0.91037,4.76483
0.44054,6.36342
3.03506,3.69609
3.32596,6.46634
1.62516,3.53993
1.17129,6.00427
0.97225,4.07079
0.59169,5.14137
2.20445,4.78118
0.00899,4.06877
2.01563,6.33226
1.90087,4.65986
2.37086,5.0412
0.44027,4.61549
1.1981,5.26329
3.47928,4.33653
0.12122,5.53986
1.87985,4.41388
1.03297,4.10619
3.45392,5.38644
0.35437,4.07838
3.05479,3.66266
3.08273,6.84233
3.06643,4.28568
2.59615,6.06694
3.44427,3.598
2.86369,4.917
0.14565,3.57697
2.59353,6.8058
0.34325,4.31505
1.3044,4.4039
0.84301,3.62428
2.11541,6.14913
1.11461,6.53691
2.66406,5.68436
2.27893,5.68157
1.18961,5.6401
1.12681,6.10768
0.35355,5.39073
1.33267,6.67036
2.57555,5.75239
3.00134,4.76093
1.29828,5.10242
2.20099,6.75252
2.78389,6.15334
2.21834,4.36409
2.82985,5.51464
0.82318,5.01787
0.94966,5.44667
2.57805,5.98082
1.88579,6.70772
1.99185,6.52953
1.0319,3.83951
2.43797,6.49933
1.86018,4.49345
3.22318,3.55061
0.31177,4.74819
0.33186,5.55471
0.20594,4.05445
0.98195,5.53912
2.36728,4.54352
0.30309,6.2842
0.35933,3.85578
0.31893,5.58276
2.78172,6.82678
3.44401,4.43725
1.51572,5.40898
2.56047,3.67332
0.73877,3.72162
0.32048,3.89411
0.07582,3.74736
0.39982,3.74879
1.91326,6.8026
2.35296,6.38916
1.31793,6.55545
1.11011,4.54181
1.63502,4.48946
3.44271,6.09447
1.13419,5.51317
0.66612,6.851
2.78109,4.71827
1.1482,5.55864
2.24835,4.50076
0.86295,4.63448
0.26325,6.3275
1.85547,3.90604
3.42976,5.28021
1.31738,5.50897
0.44065,5.37226
1.46966,4.6232
1.17626,4.71261
0.70777,4.37581
1.54496,4.73053
1.13885,6.41609
1.76316,5.14874
1.96094,5.18326
1.04864,5.22482
1.04196,6.51322
3.44067,4.85285
2.37866,4.048
0.16612,6.73922
2.01354,3.77173
3.35708,6.62185
1.90187,4.90401
1.10756,3.57244
0.37304,6.22201
3.31319,3.61428
0.73068,5.29441
0.25303,5.82723
0.1566,3.64987
3.41964,6.84271
2.1643,5.15717
0.16448,4.51753
2.94473,5.53148
2.84738,3.61492
2.05918,5.6408
1.44224,6.47593
0.63147,4.61831
3.07402,6.68134
0.67513,4.47222
2.4335,4.34638
3.0094,6.70301
1.33253,4.28094
3.24778,3.67455
1.42974,6.54443
0.24474,4.57912
0.18149,4.42384
0.42714,6.56812
3.35483,6.11677
0.25706,6.34338
2.19207,6.38233
1.22775,6.28465
2.60458,6.23815
1.39131,6.33889
2.87973,6.27949
3.3785,3.98584
2.66916,6.70545
2.52043,5.98918
0.56472,3.52928
1.44977,6.73125
1.15841,4.68671
1.06975,5.92556
2.97781,6.54167
0.43738,4.47588
0.47723,4.2755
0.27799,5.77351
1.49652,5.85682
0.84937,6.96903
0.4432,6.60139
2.82695,5.34515
3.12502,3.94979
1.41475,3.51348
0.45806,3.9354
2.07497,4.29441
1.8634,4.62039
2.94771,5.29915
1.22019,4.29289
3.1509,4.26326
2.49506,4.83507
2.40188,3.86148
1.80082,5.23318
3.04484,6.83979
1.64771,5.31942
3.08103,4.25792
2.72542,4.73187
2.43368,4.02421
0.06984,3.83285
1.50016,5.66973
3.21658,3.59504
0.08164,6.98337
3.10684,6.58289
1.5086,6.31091
3.11451,6.98076
1.60804,6.98012
3.39258,5.65864
1.85911,6.46843
0.99186,3.79297
3.07778,6.73654
2.71031,5.35118
0.60437,5.86512
1.31468,6.69582
2.05057,4.20295
0.22822,3.58675
1.84855,4.25983
0.23094,3.77106
0.53673,5.62708
0.02356,6.00988
2.39301,6.9618
2.37437,3.65975
0.89531,4.58161
1.67184,5.45952
0.79884,4.96109
0.72271,3.75259
0.87026,3.75474
3.43785,3.86074
3.25316,5.41672
3.28244,5.92428
1.82416,4.65652
2.10081,6.31253
1.09503,6.76449
1.55282,4.11555
0.06013,4.47792
3.15558,4.33398
0.01731,5.30285
3.405,6.928
1.14648,4.28399
0.05027,3.55377
3.01578,4.29026
2.57417,5.96042
2.18735,4.74173
0.01516,4.61697
2.73961,4.89395
1.66691,6.75681
2.26074,3.92332
1.42156,4.48519
2.45432,4.2334
2.2055,3.83329
0.52188,4.2942
2.15255,5.08025
2.02071,4.24128
0.17574,4.0893
0.53014,5.41998
1.32759,6.64232
2.28429,6.51243
3.1575,4.13342
0.20468,4.11709
1.46764,5.39737
3.46934,5.62374
0.79085,5.55045
1.40477,6.78878
2.79268,6.6157
1.90857,6.70324
0.90023,5.03129
1.91273,5.19598
2.31684,6.57388
2.68344,4.08219
0.5624,4.92013
1.87176,6.24217
1.00497,6.25232
0.81916,4.46147
3.16859,3.95801
2.48182,4.60681
3.05444,3.79103
1.3176,3.53715
1.13297,4.66527
1.53408,6.44382
3.2813,5.30242
2.01468,4.2891
3.49342,3.90371
0.10573,6.34779
1.87039,3.8862
0.22211,4.58156
2.75262,3.88831
3.17422,6.9098
2.38702,4.04791
2.59298,5.75468
1.64836,4.8734
0.29061,6.89751
1.8798,4.94702
2.43869,3.94254
3.35111,5.69016
2.55379,5.45227
0.74351,4.72536
1.68467,3.98125
0.72064,6.39886
1.98864,5.71805
0.49186,5.0631
0.16165,3.67387
1.43327,4.60807
2.67248,4.68144
2.48295,6.03459
2.58361,6.4409
3.39572,6.27544
3.39154,4.59501
1.64321,4.76883
2.41917,5.91498
2.64594,6.07094
1.75285,3.83297
0.19482,6.95852
1.23289,5.13475
0.10982,5.29568
3.16609,4.86482
1.6643,4.52347
1.23633,5.00984
3.28453,6.09475
1.26543,4.14872
1.16558,6.82662
0.09444,6.95354
1.71664,3.56233
1.97568,6.61317
2.53095,5.64553
0.64733,6.22009
1.32432,6.52207
0.99281,3.53662
0.12166,6.24409
3.27526,4.80625
2.90737,6.47942
1.25602,6.22337
1.61888,3.99786
1.93322,6.24681
1.0441,3.68216
2.87588,5.70475
2.21418,4.18738
2.12083,6.18642
3.32908,4.7725
3.07863,5.56324
0.87918,6.92667
2.94648,5.06044
2.50217,4.43951
2.81055,6.54455
0.53338,4.0758
2.68388,4.52951
0.77527,6.80386
0.07337,6.81883
0.712,5.73167
0.35804,6.41871
3.42242,3.73081
3.21723,5.4824
1.53612,4.96559
0.91583,4.58928
3.30374,3.61216
2.4751,5.59385
3.02553,5.20875
0.33774,5.6224
2.66168,4.22489
1.65657,4.12564
2.39406,6.18837
2.29109,6.38462
0.93635,5.62391
3.34842,4.19554
1.95318,3.9024
1.48324,5.41168
1.25898,6.32587
1.38744,5.39385
0.87644,5.85359
1.90194,6.83162
1.30143,6.04288
1.11959,6.15714
1.89422,5.06599
0.04551,4.12617
0.6366,5.08346
1.19769,4.57275
0.23026,6.18326
2.63066,5.72428
3.46902,6.65188
0.454,4.62027
2.19497,4.73372
2.55858,3.54628
1.49052,4.86926
2.83014,3.77499
2.4472,5.65451
2.14018,5.86686
1.03101,4.13091
0.91887,4.60425
1.66699,5.43644
2.02861,4.81902
0.15547,5.31218
0.58581,5.28518
0.17294,5.45817
2.33892,4.55899
2.36524,6.72295
1.97722,4.29333
3.08824,5.80059
3.03783,6.83925
2.55659,6.30036
3.36165,5.44921
0.93945,5.02257
1.43967,3.51211
1.36427,6.9287
1.19159,6.31596
0.08388,4.9862
3.21529,4.24781
3.16378,6.55279
0.87217,5.91741
2.23652,5.89964
0.63276,6.3627
2.35588,6.33706
2.06565,6.47988
1.78796,4.95938
0.72945,5.00722
2.45684,3.516
1.60692,6.36621
3.03336,6.88857
2.9899,6.23624
2.69401,3.832
0.13061,5.33342
0.15583,6.70586
2.62824,4.56357
0.97705,6.70092
0.7074,5.14217
2.46592,5.22921
1.75104,6.77203
0.33933,5.5075
1.76685,6.62614
1.98912,3.52109
2.89291,5.0018
2.21163,6.20673
2.0397,4.82
2.45842,4.12524
1.14548,4.91461
1.06011,4.3616
0.2278,5.64656
0.73057,6.41199
0.98689,5.00975
2.71341,6.55178
1.84895,4.86491
0.35534,5.06613
0.99695,4.62378
0.9273,5.07041
3.37157,3.70762
0.33648,4.33287
0.69972,4.09249
2.41297,3.72841
2.46549,6.04655
2.0708,4.68431
2.45922,4.9364
2.91123,5.85932
1.78515,4.25099
3.36675,6.9369
2.03588,4.94043
1.58277,5.86492
2.88344,5.4247
3.46177,5.01172
2.51298,4.08419
1.49359,6.95718
0.69321,3.51408
2.19656,3.91893
0.58831,4.78641
1.81315,4.14118
3.46155,4.29368
2.38791,3.58703
2.36701,5.71711
1.45177,4.40515
2.78213,6.08142
1.83493,4.1258
3.27797,4.84519
0.88592,6.12246
0.85904,5.35278
0.90814,3.59322
1.54176,6.34518
1.42535,5.09923
0.31392,4.20093
2.53034,6.87541
1.41471,5.76363
1.35481,4.61358
1.46062,5.44754
2.31337,6.01872
2.16617,6.12411
0.20119,6.62551
3.19782,3.78011
1.92546,4.64943
2.79505,4.8008
0.24179,5.13824
3.33947,4.25388
2.33633,6.43576
0.02131,6.94845
3.32566,6.58841
3.35372,4.60667
0.08709,3.88027
0.94171,5.09231
1.72831,6.02937
1.92068,4.94694
1.99434,4.56968
0.66058,5.86313
2.81973,3.7076
1.25622,6.59619
2.33162,4.69756
2.47353,4.77733
0.35132,6.99667
0.6559,5.04981
2.37555,3.88114
1.25841,5.72667
0.64264,3.80632
3.42001,5.52401
2.78686,6.85851
2.18159,6.20536
2.94286,3.75073
1.31441,3.58922
3.00367,6.82022
1.95828,5.0999
0.3839,6.17957
3.43352,5.90942
0.65586,5.30104
1.0201,4.0417
0.48337,6.87382
2.46292,5.44019
0.92907,3.82053
0.67466,4.47873
0.28652,5.89346
2.51913,5.13047
2.83708,6.22092
0.02672,5.69737
0.47669,5.12834
0.16933,6.75112
2.41338,6.19758
3.17753,4.68279
1.387,5.7673
0.84083,6.3057
2.62283,3.98416
0.16062,5.93045
1.34333,4.67015
0.96349,4.11491
2.76822,3.66337
3.11149,3.78565
1.30692,4.51474
0.93523,6.38914
2.40734,6.70262
3.46238,4.50295
1.74149,5.23333
0.69096,3.65359
0.66762,5.4216
1.5269,4.55041
3.19978,4.53534
3.45778,3.81502
0.70258,5.82413
3.46425,3.87456
2.51232,6.80966
0.41983,5.11485
1.71064,6.28398
3.00416,5.68492
0.01461,5.95401
0.38974,4.85963
0.05427,4.91953
0.33625,5.02638
0.86226,5.62654
0.38241,6.21626
1.75625,3.9485
0.42152,3.5656
1.85904,6.45642
0.80131,6.27012
1.18056,4.71927
3.45427,5.2812
1.24413,6.64216
2.12879,3.64093
2.95551,3.587
1.05691,6.40813
0.33406,6.63308
1.0877,5.74525
1.24399,6.24608
1.77126,4.35001
3.13427,5.54645
0.41233,5.89782
3.36337,5.3063
0.30254,4.23794
0.10669,3.93451
2.77888,5.63274
2.67116,5.92683
0.85619,6.81036
1.93586,4.58382
1.20974,5.15721
1.73252,5.20641
1.25365,5.91935
3.31789,3.55777
0.57678,4.61686
2.95678,4.32467
1.58086,3.90467
1.92055,5.40876
1.75493,6.48044
2.50803,4.64011
0.72581,5.66743
3.31392,5.36102
1.25149,4.0785
2.5654,6.55442
0.2338,3.98582
0.02829,3.64403
2.88152,5.98752
1.71167,4.05239
1.41296,5.62898
0.67749,6.2562
2.43458,6.85641
3.18726,5.33521
0.09307,4.92449
2.75847,3.95062
0.9365,4.69705
1.61487,4.91326
1.91759,4.10243
1.13525,4.6158
0.41924,5.41432
2.85257,4.04894
1.08015,5.4446
1.34421,3.51608
2.70631,3.65118
0.34461,5.5075
1.47205,4.47586
0.12184,6.4646
3.10142,3.82901
1.29656,6.54299
